'Jeotgalibacillus soli'
Lactobacillus mixtipabuli
Lactobacillus mucosae
Lactobacillus namurensis
Lactobacillus nasuensis
Lactobacillus nodensis
Lactobacillus odoratitofui
Lactobacillus oeni
Lactobacillus oligofermentans
Lactobacillus oris
Lactobacillus oryzae
Lactobacillus ozensis
Lactobacillus panis
Lactobacillus parabuchneri
Lactobacillus paracasei
Lactobacillus parafarraginis
Lactobacillus pasteurii
Lactobacillus perolens
Lactobacillus plantarum
Lactobacillus pobuzihii
Lactobacillus pontis
Lactobacillus rennini
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus rossiae
Lactobacillus ruminis
Lactobacillus saerimneri
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus sanfranciscensis
Lactobacillus saniviri
Lactobacillus secaliphilus
Lactobacillus senioris
Lactobacillus senmaizukei
Lactobacillus sharpeae
Lactobacillus shenzhenensis
Lactobacillus silagei
Lactobacillus siliginis
Lactobacillus similis
Lactobacillus sp.
Lactobacillus suebicus
Lactobacillus thailandensis
Lactobacillus tucceti
Lactobacillus ultunensis
Lactobacillus vaccinostercus
Lactobacillus vaginalis
Lactobacillus vini
Lactobacillus wasatchensis
Lactobacillus zymae
Lactococcus garvieae
Lactococcus lactis
Lactococcus piscium
Lactococcus raffinolactis
Lactococcus sp.
Lactonifactor longoviformis
Lacunisphaera limnophila
Lampropedia cohaerens
Lampropedia hyalina
Laribacter hongkongensis
Lasallia pustulata
Lasius niger
Latescibacteria bacterium
Lautropia mirabilis
Lautropia sp.
Lawsonella clevelandensis
Lawsonia intracellularis
Leadbetterella byssophila
Leadbetterella sp.
Lechevalieria aerocolonigenes
Leclercia adecarboxylata
Leersia perrieri
Leeuwenhoekiella blandensis
Leeuwenhoekiella marinoflava
Leeuwenhoekiella palythoae
Leeuwenhoekiella polynyae
Leeuwenhoekiella sp.
Legionella adelaidensis
Legionella brunensis
Legionella clemsonensis
Legionella drancourtii
Legionella fallonii
Legionella feeleii
Legionella geestiana
Legionella hackeliae
Legionella israelensis
Legionella jamestowniensis
Legionella jordanis
Legionella lansingensis
Legionella londiniensis
Legionella longbeachae
Legionella nautarum
Legionella norrlandica
Legionella oakridgensis
Legionella pneumophila
Legionella quinlivanii
Legionella rubrilucens
Legionella shakespearei
Legionella sp.
Legionella spiritensis
Legionella tucsonensis
Legionella waltersii
Legionella worsleiensis
Legionella-like amoebal
Legionellales bacterium
Leifsonia aquatica
Leifsonia rubra
Leifsonia sp.
Leifsonia xyli
Leisingera aquimarina
Leisingera methylohalidivorans
Leisingera sp.
Leminorella grimontii
Lentibacillus amyloliquefaciens
Lentibacter algarum
Lentimicrobium saccharophilum
Lentinula edodes
Lentisphaera araneosa
Lentisphaerae bacterium
Lentzea albidocapillata
Leptolinea tardivitalis
Leptolyngbya sp.
Leptolyngbya valderiana
Leptonema illini
Leptospira biflexa
Leptospira borgpetersenii
Leptospira interrogans
Leptospira licerasiae
Leptospira santarosai
Leptospira weilii
Leptospira wolffii
Leptospirillum ferriphilum
Leptospirillum ferrodiazotrophum
Leptospirillum ferrooxidans
Leptospirillum sp.
Leptothrix cholodnii
Leptotrichia buccalis
Leptotrichia goodfellowii
Leptotrichia hofstadii
Leptotrichia sp.
Leptotrichia wadei
Leucoagaricus sp.
Leucobacter chromiiresistens
Leucobacter komagatae
Leucobacter sp.
Leuconostoc carnosum
Leuconostoc citreum
Leuconostoc gelidum
Leuconostoc lactis
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Leuconostoc sp.
Leuconostoc suionicum
Leucosporidiella creatinivora
Levilinea saccharolytica
Lewinella sp.
Lichtheimia corymbifera
Ligilactobacillus acidipiscis
Limimaricola cinnabarinus
Limimaricola hongkongensis
Limimaricola pyoseonensis
Limimaricola soesokkakensis
Limnobacter sp.
Limnochorda pilosa
Limnohabitans planktonicus
Limnohabitans sp.
Limnoraphis robusta
Limnothrix sp.
Lipomyces starkeyi
Listeria aquatica
Listeria booriae
Listeria fleischmannii
Listeria floridensis
Listeria grayi
Listeria innocua
Listeria monocytogenes
Listeria welshimeri
Listeriaceae bacterium
Litoreibacter albidus
Litoreibacter arenae
Litoreibacter ascidiaceicola
Litoreibacter janthinus
Litorimicrobium taeanense
Lobosporangium transversale
Loktanella atrilutea
Loktanella cinnabarina
Loktanella fryxellensis
Loktanella hongkongensis
Loktanella marina
Loktanella salsilacus
Loktanella sediminum
Loktanella soesokkakensis
Loktanella sp.
Loktanella vestfoldensis
Longilinea arvoryzae
Lonsdalea quercina
Loxodonta africana
Lucilia cuprina
Lunatimonas lonarensis
Lupinus albus
Lupinus angustifolius
Luteibacter rhizovicinus
Luteibacter sp.
Luteibacter yeojuensis
Luteimonas sp.
Luteipulveratus halotolerans
Luteipulveratus mongoliensis
Luteitalea pratensis
Luteococcus japonicus
Lutibacter profundi
Lutibacter sp.
Lutimaribacter saemankumensis
Lutispora thermophila
Lyngbya confervoides
Lyngbya majuscula
Lyngbya sp.
Lysine Riboswitch
Lysinibacillus contaminans
Lysinibacillus manganicus
Lysinibacillus massiliensis
Lysinibacillus odysseyi
Lysinibacillus sinduriensis
Lysinibacillus sp.
Lysinibacillus sphaericus
Lysinibacillus xylanilyticus
Lysobacter antibioticus
Lysobacter capsici
Lysobacter concretionis
Lysobacter daejeonensis
Lysobacter defluvii
Lysobacter dokdonensis
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter sp.
Lysobacter spongiicola
M-Box RNA,
Macellibacteroides sp.
Macleaya cordata
Macrococcus canis
Macrococcus caseolyticus
Macrophomina phaseolina
Madurella mycetomatis
Magnaporthe oryzae
Magnaporthe poae
Magnetococcus sp.
Magnetofaba australis
Magnetospira sp.
Magnetospirillum gryphiswaldense
Magnetospirillum magneticum
Magnetospirillum magnetotacticum
Magnetospirillum marisnigri
Magnetospirillum moscoviense
Magnetospirillum sp.
Mahella australiensis
Malassezia sympodialis
Maliponia aquimaris
Malonomonas rubra
Mameliella alba
Mangrovibacter sp.
Mangrovimonas sp.
Mangrovimonas yunxiaonensis
Mannheimia haemolytica
Mannheimia succiniciproducens
Marchantia polymorpha
Maribacter arcticus
Maribacter dokdonensis
Maribacter litoralis
Maribacter sedimenticola
Maribacter sp.
Maribius pelagius
Maribius salinus
Maricaulis maris
Marichromatium purpuratum
Marinactinospora thermotolerans
Marinibacterium profundimaris
Marinilactibacillus sp.
Marinimicrobia bacterium
Marininema halotolerans
Mariniphaga anaerophila
Mariniradius saccharolyticus
Marinithermus hydrothermalis
Marinitoga piezophila
Marinobacter algicola
Marinobacter excellens
Marinobacter lutaoensis
Marinobacter salarius
Marinobacter salinus
Marinobacter santoriniensis
Marinobacter similis
Marinobacter sp.
Marinobacter subterrani
Marinobacterium sp.
Marinobacterium stanieri
Marinomonas aquimarina
Marinomonas mediterranea
Marinomonas posidonica
Marinomonas sp.
Marinomonas spartinae
Marinomonas ushuaiensis
Marinoscillum sp.
Marinospirillum alkaliphilum
Marinosulfonomonas sp.
Marinovum algicola
Mariprofundus ferrooxydans
Marispirochaeta aestuarii
Maritimibacter alkaliphilus
Maritimibacter sp.
Marivirga sericea
Marivirga tractuosa
Marivita cryptomonadis
Marivita geojedonensis
Marivita hallyeonensis
Marivita sp.
Marivivens niveibacter
Marmoricola sp.
Marssonina brunnea
Martelella endophytica
Martelella mediterranea
Martelella sp.
Marvinbryantia formatexigens
Massilia sp.
Massilia timonae
Mastigocladus laminosus
Mastigocoleus testarum
Medicago truncatula
Megamonas funiformis
Megamonas hypermegale
Megaselia scalaris
Megasphaera cerevisiae
Megasphaera elsdenii
Megasphaera genomosp.
Megasphaera micronuciformis
Megasphaera sp.
Meinhardsimonia xiamenensis
Meiothermus ruber
Meiothermus silvanus
Melioribacter roseus
Melioribacter sp.
Melissococcus plutonius
Mesonia sp.
Mesoplasma florum
Mesorhizobium alhagi
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium delmotii
Mesorhizobium huakuii
Mesorhizobium loti
Mesorhizobium metallidurans
Mesorhizobium plurifarium
Mesorhizobium prunaredense
Mesorhizobium sp.
Mesotoga infera
Mesotoga prima
Metallosphaera sedula
Metallosphaera yellowstonensis
Metalysinibacillus saudimassiliensis
Metarhizium acridum
Metarhizium album
Metarhizium anisopliae
Metarhizium majus
Methanobacterium congolense
Methanobacterium sp.
Methanobrevibacter arboriphilus
Methanobrevibacter filiformis
Methanobrevibacter millerae
Methanobrevibacter oralis
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanobrevibacter sp.
Methanocella paludicola
Methanocorpusculum labreanum
Methanomassiliicoccales archaeon
Methanomicrobiales archaeon
Methanoregula boonei
Methanoregula formicicum
Methanosalsum zhilinae
Methanosarcina acetivorans
Methanosarcina barkeri
Methanosphaera stadtmanae
Methanosphaerula palustris
Methanospirillum hungatei
Methanothermobacter thermautotrophicus
Methylacidimicrobium sp.
Methylacidiphilum fumariolicum
Methylacidiphilum infernorum
Methylacidiphilum kamchatkense
Methylibium petroleiphilum
Methylibium sp.
Methylobacillus flagellatus
Methylobacillus sp.
Methylobacter sp.
Methylobacter tundripaludum
Methylobacterium brachiatum
Methylobacterium bullatum
Methylobacterium chloromethanicum
Methylobacterium dankookense
Methylobacterium extorquens
Methylobacterium indicum
Methylobacterium nodulans
Methylobacterium populi
Methylobacterium radiotolerans
Methylobacterium sp.
Methylobacterium tarhaniae
Methylobrevis pamukkalensis
Methyloceanibacter caenitepidi
Methyloceanibacter marginalis
Methyloceanibacter methanicus
Methyloceanibacter superfactus
Methylocella silvestris
Methylocella tundrae
Methylococcaceae bacterium
Methylococcus capsulatus
Methylocystis sp.
Methyloligella halotolerans
Methylomagnum ishizawai
Methylomicrobium album
Methylomicrobium alcaliphilum
Methylomonas denitrificans
Methylomonas lenta
Methylomonas methanica
Methylomonas sp.
Methylophaga aminisulfidivorans
Methylophaga lonarensis
Methylophaga sp.
Methylophaga thiooxydans
Methylophilaceae bacterium
Methylophilales bacterium
Methylophilus sp.
Methyloprofundus sedimenti
Methylorubrum extorquens
Methylosinus sp.
Methylotenera mobilis
Methylotenera sp.
Methylotenera versatilis
Methylothermaceae bacteria
Methyloversatilis sp.
Methyloversatilis universalis
Methylovorus glucosetrophus
Methylovorus sp.
Metschnikowia bicuspidata
Meyerozyma guilliermondii
Microbacteriaceae bacterium
Microbacterium aurum
Microbacterium azadirachtae
Microbacterium chocolatum
Microbacterium esteraromaticum
Microbacterium foliorum
Microbacterium ginsengisoli
Microbacterium hydrocarbonoxydans
Microbacterium ketosireducens
Microbacterium laevaniformans
Microbacterium mangrovi
Microbacterium oleivorans
Microbacterium oxydans
Microbacterium pygmaeum
Microbacterium sp.
Microbacterium testaceum
Microbacterium trichothecenolyticum
Microbispora rosea
Microbispora sp.
Microbotryum violaceum
Microbulbifer agarilyticus
Microbulbifer donghaiensis
Microbulbifer sp.
Microbulbifer thermotolerans
Micrococcales bacterium
Micrococcus luteus
Micrococcus sp.
Microcoleus chthonoplastes
Microcoleus sp.
Microcystis aeruginosa
Microcystis sp.
Microdochium bolleyi
Microgenomates bacterium
Microgenomates group
Microlunatus phosphovorus
Microlunatus soli
Micromonas pusilla
Micromonas sp.
Micromonospora aurantiaca
Micromonospora avicenniae
Micromonospora carbonacea
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora krabiensis
Micromonospora lupini
Micromonospora narathiwatensis
Micromonospora nigra
Micromonospora rifamycinica
Micromonospora rosaria
Micromonospora siamensis
Micromonospora sp.
Micropruina glycogenica
Microscilla marina
Microterricola viridarii
Microvirga ossetica
Microvirga sp.
Microvirga vignae
Mimulus guttatus
Mitsuaria sp.
Mitsuokella multacida
Mitsuokella sp.
Mobilicoccus pelagius
Mobiluncus curtisii
Mobiluncus mulieris
Modestobacter caceresii
Modestobacter marinus
Modestobacter sp.
Moellerella wisconsensis
Mogibacterium pumilum
Mogibacterium sp.
Moheibacter sediminis
Moniliophthora roreri
Monodelphis domestica
Monoraphidium neglectum
Moorella glycerini
Moorella sp.
Moorella thermoacetica
Moraxella atlantae
Moraxella bovis
Moraxella bovoculi
Moraxella catarrhalis
Moraxella caviae
Moraxella cuniculi
Moraxella lacunata
Moraxella lincolnii
Moraxella macacae
Moraxella nonliquefaciens
Moraxella sp.
Moraxellaceae bacterium
Morganella morganii
Moritella sp.
Moritella viscosa
Moritella yayanosii
Mortierella elongata
Morus notabilis
Motiliproteus sp.
Mucilaginibacter paludis
Mucilaginibacter pedocola
Mucilaginibacter polytrichastri
Mucilaginibacter sp.
Mucinivorans hirudinis
Mucispirillum schaedleri
Mucor ambiguus
Mucor circinelloides
Mumia flava
Muricauda ruestringensis
Muricauda sp.
Musa acuminata
Mutated adenine
Myceliophthora thermophila
Mycetocola reblochoni
Mycobacterium abscessus
Mycobacterium angelicum
Mycobacterium arosiense
Mycobacterium arupense
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bacteremicum
Mycobacterium basiliense
Mycobacterium bohemicum
Mycobacterium bovis
Mycobacterium brisbanense
Mycobacterium canettii
Mycobacterium celatum
Mycobacterium chubuense
Mycobacterium conspicuum
Mycobacterium cosmeticum
Mycobacterium diernhoferi
Mycobacterium doricum
Mycobacterium europaeum
Mycobacterium fallax
Mycobacterium farcinogenes
Mycobacterium fragae
Mycobacterium gilvum
Mycobacterium gordonae
Mycobacterium grossiae
Mycobacterium haemophilum
Mycobacterium hassiacum
Mycobacterium heidelbergense
Mycobacterium holsaticum
Mycobacterium insubricum
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium kumamotonense
Mycobacterium kyorinense
Mycobacterium lacus
Mycobacterium lentiflavum
Mycobacterium leprae
Mycobacterium llatzerense
Mycobacterium mageritense
Mycobacterium malmoense
Mycobacterium marinum
Mycobacterium moriokaense
Mycobacterium noviomagense
Mycobacterium obuense
Mycobacterium palustre
Mycobacterium parafortuitum
Mycobacterium parmense
Mycobacterium phlei
Mycobacterium rhodesiae
Mycobacterium riyadhense
Mycobacterium rutilum
Mycobacterium saskatchewanense
Mycobacterium scrofulaceum
Mycobacterium sherrisii
Mycobacterium shimoidei
Mycobacterium shinjukuense
Mycobacterium simiae
Mycobacterium smegmatis
Mycobacterium sp.
Mycobacterium talmoniae
Mycobacterium terrae
Mycobacterium thermoresistibile
Mycobacterium triplex
Mycobacterium triviale
Mycobacterium tuberculosis
Mycobacterium tusciae
Mycobacterium ulcerans
Mycobacterium vanbaalenii
Mycobacterium wolinskyi
Mycobacterium xenopi
Mycolicibacterium conceptionense
Mycolicibacterium mageritense
Mycolicibacterium neoaurum
Mycolicibacterium neworleansense
Mycolicibacterium vulneris
Mycoplasma agalactiae
Mycoplasma agassizii
Mycoplasma alligatoris
Mycoplasma anatis
Mycoplasma auris
Mycoplasma bovigenitalium
Mycoplasma bovoculi
Mycoplasma californicum
Mycoplasma canadense
Mycoplasma canis
Mycoplasma conjunctivae
Mycoplasma crocodyli
Mycoplasma cynos
Mycoplasma fermentans
Mycoplasma gallinaceum
Mycoplasma gallisepticum
Mycoplasma hominis
Mycoplasma hyopneumoniae
Mycoplasma hyorhinis
Mycoplasma hyosynoviae
Mycoplasma iowae
Mycoplasma mobile
Mycoplasma mycoides
Mycoplasma penetrans
Mycoplasma pullorum
Mycoplasma pulmonis
Mycoplasma sp.
Mycoplasma verecundum
Mycosphaerella eumusae
Mycosphaerella graminicola
Mycosphaerella musicola
Myroides odoratus
Myroides profundi
Myxococcales bacterium
Myxococcus fulvus
Myxococcus hansupus
Myxococcus stipitatus
Myxococcus xanthus
NC10 bacterium
Nadsonia fulvescens
Nakamurella multipartita
Nakamurella sp.
Nannochloropsis gaditana
Nasonia vitripennis
Natranaerobius thermophilus
Natranaerobius trueperi
Natrialba asiatica
Natrinema pellirubrum
Natrinema sp.
Natrinema versiforme
Natronobacterium gregoryi
Natronolimnobius baerhuensis
Nautella sp.
Necator americanus
Nectria haematococca
Negativicoccus succinicivorans
Neisseria animaloris
Neisseria arctica
Neisseria bacilliformis
Neisseria dentiae
Neisseria elongata
Neisseria gonorrhoeae
Neisseria lactamica
Neisseria meningitidis
Neisseria mucosa
Neisseria shayeganii
Neisseria sp.
Neisseria wadsworthii
Neisseria weaveri
Neisseria zoodegmatis
Neisseriaceae bacterium
Nelumbo nucifera
Nematostella vectensis
Neoasaia chiangmaiensis
Neochlamydia sp.
Neofusicoccum parvum
Neolecta irregularis
Neonectria ditissima
Neosartorya fischeri
Neosartorya udagawae
Neosynechococcus sphagnicola
Neotoma lepida
Neptunicoccus sediminis
Neptuniibacter caesariensis
Neptuniibacter sp.
Neptunomonas sp.
Nereida ignava
Nesiotobacter exalbescens
Nesterenkonia sp.
Neurospora crassa
Neurospora tetrasperma
NiCo riboswitch
Niabella ginsenosidivorans
Niabella soli
Niastella koreensis
Niastella populi
Niastella sp.
Niastella vici
Niastella yeongjuensis
Nicotiana attenuata
Nicotiana sylvestris
Nioella nitratireducens
Nioella sediminis
Nipponia nippon
Nitratireductor aquibiodomus
Nitratireductor basaltis
Nitratireductor indicus
Nitratireductor sp.
Nitrincola lacisaponensis
Nitrincola nitratireducens
Nitrincola sp.
Nitritalea halalkaliphila
Nitrobacter hamburgensis
Nitrobacter sp.
Nitrobacter winogradskyi
Nitrococcus mobilis
Nitrolancea hollandica
Nitrosococcus halophilus
Nitrosococcus oceani
Nitrosomonas communis
Nitrosomonas cryotolerans
Nitrosomonas europaea
Nitrosomonas eutropha
Nitrosomonas mobilis
Nitrosomonas nitrosa
Nitrosomonas sp.
Nitrososphaera viennensis
Nitrosospira briensis
Nitrosospira multiformis
Nitrosospira sp.
Nitrosovibrio sp.
Nitrospina gracilis
Nitrospina sp.
Nitrospinae bacterium
Nitrospira bacterium
Nitrospira defluvii
Nitrospira japonica
Nitrospira lenta
Nitrospira moscoviensis
Nitrospira sp.
Nitrospirae bacterium
Nitzschia inconspicua
Nocardia asteroides
Nocardia brasiliensis
Nocardia cyriacigeorgica
Nocardia donostiensis
Nocardia farcinica
Nocardia nova
Nocardia seriolae
Nocardia soli
Nocardia sp.
Nocardia terpenica
Nocardioides dokdonensis
Nocardioides luteus
Nocardioides sp.
Nocardiopsis alba
Nocardiopsis dassonvillei
Nocardiopsis sp.
Nodularia spumigena
Nonlabens dokdonensis
Nonlabens marinus
Nonomuraea sp.
Nostoc calcicola
Nostoc punctiforme
Nostoc sp.
Novibacillus thermophilus
Noviherbaspirillum sp.
Novosphingobium aromaticivorans
Novosphingobium barchaimii
Novosphingobium malaysiense
Novosphingobium nitrogenifigens
Novosphingobium pentaromativorans
Novosphingobium sp.
Novosphingobium subterraneum
Novosphingobium tardaugens
OM182 bacterium
Oblitimonas alkaliphila
Oceanibaculum indicum
Oceanibulbus indolifex
Oceanibulbus sp.
Oceanicaulis sp.
Oceanicella actignis
Oceanicoccus sagamiensis
Oceanicola batsensis
Oceanicola granulosus
Oceanicola litoreus
Oceanicola marinus
Oceanicola sp.
Oceaniglobus indicus
Oceanimonas sp.
Oceaniovalibus guishaninsula
Oceanithermus profundus
Oceanivirga sp.
Oceanobacillus iheyensis
Oceanobacillus oncorhynchi
Oceanobacillus picturae
Oceanobacter sp.
Oceanococcus atlanticus
Oceanospirillales bacterium
Oceanospirillum linum
Oceanospirillum multiglobuliferum
Ochrobactrum anthropi
Ochrobactrum intermedium
Ochrobactrum pseudogrignonense
Ochrobactrum sp.
Ochroconis gallopava
Octadecabacter antarcticus
Octadecabacter arcticus
Octadecabacter ascidiaceicola
Octadecabacter temperatus
Odoribacter laneus
Odoribacter sp.
Odoribacter splanchnicus
Oenococcus kitaharae
Oenococcus oeni
Oenococcus sp.
Oerskovia sp.
Ogataea parapolymorpha
Oidiodendron maius
Okibacterium fritillariae
Olea europaea
Oleiagrimonas soli
Oleiphilus sp.
Oleispira antarctica
Oligella urethralis
Oligotropha carboxidovorans
Olsenella profusa
Olsenella scatoligenes
Olsenella sp.
Olsenella uli
Omnitrophica WOR_2
Omnitrophica bacterium
Onion yellows
Ophiocordyceps unilateralis
Ophiostoma piceae
Opitutaceae bacterium
Opitutus sp.
Opitutus terrae
Orenia marismortui
Orenia metallireducens
Oribacterium sinus
Oribacterium sp.
Ornatilinea apprima
Ornithinibacillus sp.
Ornithinimicrobium sp.
Ornithobacterium rhinotracheale
Orrella dioscoreae
Oryza barthii
Oryza brachyantha
Oryza glumipatula
Oryza meridionalis
Oryza nivara
Oryza punctata
Oryza rufipogon
Oryza sativa
Oscillatoria acuminata
Oscillatoria rosea
Oscillatoria sp.
Oscillatoriales cyanobacterium
Oscillibacter sp.
Oscillibacter valericigenes
Oscillochloris trichoides
Osedax symbiont
Ostreococcus lucimarinus
Ostreococcus tauri
Ottowia sp.
Owenweeksia hongkongensis
Oxalobacter formigenes
Oxalobacteraceae bacterium
Oxobacter pfennigii
PREQ1 RIBOSWITCH
PRPP Riboswitch
PRPP riboswitch
Pachysolen tannophilus
Pacificibacter marinus
Pacificimonas flava
Paenalcaligenes hominis
Paenibacillaceae bacterium
Paenibacillus alvei
Paenibacillus antarcticus
Paenibacillus aquistagni
Paenibacillus beijingensis
Paenibacillus bovis
Paenibacillus curdlanolyticus
Paenibacillus darwinianus
Paenibacillus dendritiformis
Paenibacillus ferrarius
Paenibacillus illinoisensis
Paenibacillus larvae
Paenibacillus macerans
Paenibacillus mucilaginosus
Paenibacillus naphthalenovorans
Paenibacillus oryzae
Paenibacillus pectinilyticus
Paenibacillus pini
Paenibacillus polymyxa
Paenibacillus popilliae
Paenibacillus rhizosphaerae
Paenibacillus riograndensis
Paenibacillus sabinae
Paenibacillus selenitireducens
Paenibacillus sp.
Paenibacillus stellifer
Paenibacillus swuensis
Paenibacillus tyrfis
Paenibacillus uliginis
Paenibacillus vortex
Paenibacillus wynnii
Paenibacillus yonginensis
Paeniclostridium sordellii
Paeniglutamicibacter gangotriensis
Paenirhodobacter enshiensis
Paenirhodobacter sp.
Paenisporosarcina sp.
Pajaroellobacter abortibovis
Palaeococcus pacificus
Palleronia abyssalis
Palleronia marisminoris
Palleronia rufa
Paludibacter propionicigenes
Paludibacter sp.
Paludisphaera borealis
Pandoraea pnomenusa
Pannonibacter phragmitetus
Pantoea ananatis
Pantoea brenneri
Pantoea dispersa
Pantoea gaviniae
Pantoea latae
Pantoea sp.
Pantoea stewartii
Pantoea vagans
Pantoea wallisii
Papillibacter cinnamivorans
Parabacteroides distasonis
Parabacteroides goldsteinii
Parabacteroides merdae
Parabacteroides sp.
Paraburkholderia caribensis
Paraburkholderia ginsengiterrae
Paraburkholderia hospita
Paraburkholderia piptadeniae
Paraburkholderia ribeironis
Paraburkholderia sabiae
Paraburkholderia sp.
Paraburkholderia susongensis
Paraburkholderia tropica
Paraburkholderia unamae
Paraclostridium benzoelyticum
Paracoccidioides brasiliensis
Paracoccus alkenifer
Paracoccus aminophilus
Paracoccus aminovorans
Paracoccus contaminans
Paracoccus denitrificans
Paracoccus halophilus
Paracoccus halotolerans
Paracoccus pantotrophus
Paracoccus salipaludis
Paracoccus sanguinis
Paracoccus sediminis
Paracoccus seriniphilus
Paracoccus solventivorans
Paracoccus sp.
Paracoccus sphaerophysae
Paracoccus yeei
Parageobacillus caldoxylosilyticus
Paraglaciecola psychrophila
Paraglaciecola sp.
Paralactobacillus selangorensis
Paraliobacillus sp.
Paramaledivibacter caminithermalis
Paramesorhizobium deserti
Paraoerskovia marina
Parapedobacter sp.
Paraphaeosphaeria sporulosa
Paraprevotella clara
Pararhizobium polonicum
Pararhodobacter sp.
Pararhodospirillum photometricum
Parascardovia denticolens
Parasitella parasitica
Parasporobacterium paucivorans
Parastrongyloides trichosuri
Parasutterella excrementihominis
Parcubacteria bacterium
Parcubacteria group
Parendozoicomonas haliclonae
Parvibaculum lavamentivorans
Parvimonas micra
Parvularcula bermudensis
Pasteurella bettyae
Pasteurella multocida
Pasteurellaceae bacterium
Patagioenas fasciata
Patulibacter medicamentivorans
Paucibacter sp.
Paxillus rubicundulus
Pectobacterium atrosepticum
Pectobacterium carotovorum
Pediococcus acidilactici
Pediococcus argentinicus
Pediococcus cellicola
Pediococcus claussenii
Pediococcus pentosaceus
Pediococcus stilesii
Pedobacter africanus
Pedobacter antarcticus
Pedobacter cryoconitis
Pedobacter glucosidilyticus
Pedobacter heparinus
Pedobacter nyackensis
Pedobacter saltans
Pedobacter sp.
Pedobacter steynii
Pedosphaera parvula
Pelagibaca abyssi
Pelagibaca bermudensis
Pelagibacteraceae bacterium
Pelagibacterium halotolerans
Pelagibacterium sp.
Pelagicola litorisediminis
Pelagimonas varians
Pelistega indica
Pelobacter acetylenicus
Pelobacter carbinolicus
Pelobacter propionicus
Pelobacter sp.
Pelodictyon phaeoclathratiforme
Pelomonas sp.
Pelosinus fermentans
Pelosinus sp.
Pelotomaculum thermopropionicum
Penicilliopsis zonata
Penicillium antarcticum
Penicillium arizonense
Penicillium brasilianum
Penicillium camemberti
Penicillium chrysogenum
Penicillium coprophilum
Penicillium decumbens
Penicillium digitatum
Penicillium expansum
Penicillium flavigenum
Penicillium freii
Penicillium griseofulvum
Penicillium islandicum
Penicillium italicum
Penicillium marneffei
Penicillium nalgiovense
Penicillium nordicum
Penicillium oxalicum
Penicillium polonicum
Penicillium roqueforti
Penicillium solitum
Penicillium steckii
Penicillium subrubescens
Penicillium vulpinum
Peptoclostridium acidaminophilum
Peptoclostridium litorale
Peptococcaceae bacterium
Peptoniphilus asaccharolyticus
Peptoniphilus duerdenii
Peptoniphilus grossensis
Peptoniphilus harei
Peptoniphilus indolicus
Peptoniphilus lacrimalis
Peptoniphilus sp.
Peptostreptococcaceae bacterium
Peptostreptococcus anaerobius
Peptostreptococcus stomatis
Perkinsus marinus
Pestalotiopsis fici
Petrimonas mucosa
Petrobacter sp.
Petrocella atlantisensis
Petrotoga mobilis
Phaeoacremonium minimum
Phaeobacter gallaeciensis
Phaeobacter italicus
Phaeobacter piscinae
Phaeobacter porticola
Phaeobacter sp.
Phaeodactylibacter xiamenensis
Phaeodactylum tricornutum
Phaeomoniella chlamydospora
Phaeosphaeria nodorum
Phaeospirillum molischianum
Phaethon lepturus
Phascolarctobacterium sp.
Phaseolus vulgaris
Phenylobacterium sp.
Phenylobacterium zucineum
Phialocephala scopiformis
Phialocephala subalpina
Phialophora attae
Phlebia centrifuga
Phormidesmis priestleyi
Phormidium ambiguum
Phormidium sp.
Phormidium tenue
Photobacterium angustum
Photobacterium aquae
Photobacterium damselae
Photobacterium galatheae
Photobacterium ganghwense
Photobacterium halotolerans
Photobacterium iliopiscarium
Photobacterium jeanii
Photobacterium kishitanii
Photobacterium marinum
Photobacterium profundum
Photobacterium proteolyticum
Photobacterium sp.
Photorhabdus asymbiotica
Photorhabdus luminescens
Phycicoccus sp.
Phycisphaera mikurensis
Phycisphaerae bacterium
Phycomyces blakesleeanus
Phyllobacteriaceae bacterium
Phyllobacterium sp.
Physcomitrella patens
Phytophthora infestans
Phytophthora megakarya
Phytophthora nicotianae
Phytophthora parasitica
Phytophthora ramorum
Phytophthora sojae
Picea glauca
Pichia kudriavzevii
Pichia membranifaciens
Picrophilus torridus
Pilibacter termitis
Piloderma croceum
Pimelobacter simplex
Pirellula sp.
Pirellula staleyi
Piscirickettsia litoralis
Piscirickettsia salmonis
Pisolithus tinctorius
Planctomyces brasiliensis
Planctomyces limnophilus
Planctomyces maris
Planctomyces sp.
Planctomycetaceae bacterium
Planctomycetales bacterium
Planctomycetes bacterium
Planktotalea arctica
Planktotalea frisia
Planktothricoides sp.
Planktothrix agardhii
Planktothrix paucivesiculata
Planktothrix rubescens
Planktothrix sp.
Planococcus massiliensis
Planococcus rifietoensis
Planococcus sp.
