'Jeotgalibacillus soli'
Aspergillus tubingensis
Aspergillus ustus
Aspergillus versicolor
Aspergillus wentii
Asticcacaulis benevestitus
Asticcacaulis biprosthecum
Asticcacaulis excentricus
Asticcacaulis sp.
Atlantibacter hermannii
Atopobium deltae
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Atopostipes suicloacalis
Atribacteria bacterium
Aurantimonas altamirensis
Aurantimonas manganoxydans
Aurantimonas sp.
Aurantimonas ureilytica
Aureimonas sp.
Aureobasidium melanogenum
Aureobasidium namibiae
Aureobasidium pullulans
Aureobasidium subglaciale
Austwickia chelonae
Avibacterium paragallinarum
Azoarcus sp.
Azonexus hydrophilus
Azorhizobium caulinodans
Azospirillum amazonense
Azospirillum brasilense
Azospirillum humicireducens
Azospirillum lipoferum
Azospirillum sp.
Azotobacter vinelandii
B. subtilis
Babjeviella inositovora
Bacilli bacterium
Bacillus akibai
Bacillus alcalophilus
Bacillus altitudinis
Bacillus aminovorans
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus arseniciselenatis
Bacillus arsenicus
Bacillus atrophaeus
Bacillus azotoformans
Bacillus badius
Bacillus bataviensis
Bacillus beveridgei
Bacillus campisalis
Bacillus cellulosilyticus
Bacillus cereus
Bacillus circulans
Bacillus clausii
Bacillus coagulans
Bacillus coahuilensis
Bacillus cytotoxicus
Bacillus enclensis
Bacillus endophyticus
Bacillus firmus
Bacillus gaemokensis
Bacillus galactosidilyticus
Bacillus ginsengihumi
Bacillus glycinifermentans
Bacillus gobiensis
Bacillus halodurans
Bacillus hemicellulosilyticus
Bacillus indicus
Bacillus infantis
Bacillus koreensis
Bacillus krulwichiae
Bacillus lehensis
Bacillus licheniformis
Bacillus litoralis
Bacillus macroides
Bacillus macyae
Bacillus marisflavi
Bacillus megaterium
Bacillus methanolicus
Bacillus mycoides
Bacillus nakamurai
Bacillus niacini
Bacillus obstructivus
Bacillus okhensis
Bacillus pseudalcaliphilus
Bacillus pseudofirmus
Bacillus pseudomycoides
Bacillus pumilus
Bacillus safensis
Bacillus schlegelii
Bacillus selenatarsenatis
Bacillus selenitireducens
Bacillus shackletonii
Bacillus simplex
Bacillus smithii
Bacillus solimangrovi
Bacillus sp.
Bacillus sporothermodurans
Bacillus subterraneus
Bacillus subtilis
Bacillus thermoamylovorans
Bacillus thermozeamaize
Bacillus thuringiensis
Bacillus tusciae
Bacillus velezensis
Bacillus vietnamensis
Bacillus vireti
Bacillus wakoensis
Bacillus weihaiensis
Bacillus weihenstephanensis
Bacillus xerothermodurans
Bacteriodetes bacterium
Bacterioplanes sanyensis
Bacteriovorax marinus
Bacteriovorax sp.
Bacteroidales bacterium
Bacteroides caccae
